,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved
2022183,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571,,Gated community / Apartment,500094,"Sainikpuri, Hyderabad",845,,,yes
2022185,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286,,Stand Alone / Apartment,500078,,715,,,no
2022188,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,4380,,Stand Alone / Apartment,500087,Yapral,3900,,,no
2022189,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,4380,,Stand Alone / Apartment,500087,Yapral,2223,,,no
2022190,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,7692,,Stand Alone / Apartment,500087,Yapral,1426.75,,,no
2022191,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,7692,,Stand Alone / Apartment,500087,Yapral,1343.55,,,no
2022192,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,5252,,Stand Alone / Apartment,500087,Yapral,672.75,,,no
2022193,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,5252,,Stand Alone / Apartment,500087,Yapral,672.75,,,no
2022196,"Bhavani Heights, Yapral",Bhavani Heights,"3rd party, Property Science",,17.50621978,78.54053743,,6752,,Commercial Spaces,500087,,1170,,,no
2022197,"Bhavani Heights, Yapral",Bhavani Heights,"3rd party, Property Science",,17.50621978,78.54053743,,6752,,Commercial Spaces,500087,Yapral,1120,,,no
2022198,"fortune avenue, Yapral",fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000,,Gated community / Apartment,500078,Yapral,809.25,,,no
2022199,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000,,Gated community / Apartment,500078,Yapral,800,,,no
2022200,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000,,Gated community / Apartment,500078,Yapral,950,,,no
2022201,"fortune avenue, Yapral",fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000,,Gated community / Apartment,500078,Yapral,833.95,,,no
2022202,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000,,Gated community / Apartment,500078,Yapral,763,,Hyderabad,no
2022203,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000,,Gated community / Apartment,500078,Yapral,1235,,,no
